NAME,MEDIAN_INCOME,AREA_NUM
Oakland,"10,739",36
Riverdale,"13,178",54
Grand Boulevard,"14,178",38
Washington Park,"15,160",40
Woodlawn,"18,266",42
North Lawndale,"18,342",29
Fuller Park,"18,412",37
Englewood,"18,955",68
Armour Square,"22,756",34
West Garfield Park,"23,121",26
East Garfield Park,"24,216",27
Douglas,"24,835",35
New City,"25,647",61
West Englewood,"26,693",67
South Shore,"27,748",43
Lower West Side,"27,763",31
Greater Grand Crossing,"27,916",69
South Chicago,"28,279",46
Humboldt Park,"28,728",23
Near West Side,"29,588",28
Pullman,"30,966",50
Rogers Park,"31,602",1
South Lawndale,"32,320",30
Uptown,"32,328",3
Chatham,"32,341",44
Austin,"33,663",25
Auburn Gresham,"34,238",71
Near South Side,"34,329",33
South Deering,"34,789",51
Burnside,"34,790",47
Bridgeport,"35,535",60
Edgewater,"35,766",77
Chicago Lawn,"35,983",66
Hyde Park,"35,991",41
McKinley Park,"36,010",59
Brighton Park,"36,245",58
Logan Square,"36,245",22
Gage Park,"36,463",63
Kenwood,"36,612",39
Avondale,"36,677",21
Hermosa,"38,159",20
Roseland,"38,237",49
West Town,"38,915",24
Archer Heights,"39,431",57
East Side,"39,724",52
West Pullman,"40,478",53
Albany Park,"40,711",14
Lincoln Square,"40,898",4
West Ridge,"41,144",2
Irving Park,"42,037",16
Belmont Cragin,"43,159",19
Washington Heights,"43,201",73
OHare,"43,542",76
Hegewisch,"43,665",55
Avalon Park,"44,344",45
Portage Park,"45,117",15
West Elsdon,"45,310",62
Garfield Ridge,"45,436",56
Clearing,"45,533",64
Calumet Heights,"46,326",48
Montclare,"46,636",18
West Lawn,"47,017",65
North Park,"49,208",13
Dunning,"49,367",17
Jefferson Park,"49,640",11
North Center,"51,758",5
Morgan Park,"53,133",75
Norwood Park,"53,402",10
Ashburn,"53,633",70
Lake View,"53,881",6
Edison Park,"57,083",9
Mount Greenwood,"57,493",74
Near North Side,"57,811",8
Loop,"65,128",32
Beverly,"66,823",72
Forest Glen,"68,269",12
Lincoln Park,"68,613",7
